name,pct
Hokkaido,216
Akita-ken,205
Yamagata-ken,145
Aomori-ken,123
Niigata-ken,109
Iwate-ken,107
Fukushima-ken,78
Kagoshima-ken,78
Toyama-ken,76
Miyagi-ken,73
Saga-ken,72
Tochigi-ken,71
Ibaraki-ken,66
Fukui-ken,66
Tottori-ken,61
Shimane-ken,61
Miyazaki-ken,60
Kumamoto-ken,56
Nagano-ken,53
Shiga-ken,49
Ishikawa-ken,47
Kochi-ken,43
Oita-ken,42
Tokushima-ken,41
Mie-ken,39
Nagasaki-ken,39
Okayama-ken,36
Ehime-ken,35
Okinawa-ken,34
Kagawa-ken,33
Gumma-ken,32
Yamaguchi-ken,29
Wakayama-ken,28
Gifu-ken,25
Chiba-ken,24
Hiroshima-ken,21
Yamanashi-ken,19
Fukuoka-ken,19
Hyogo-ken,15
Shizuoka-ken,15
Nara-ken,14
Kyoto-fu,12
Aichi-ken,12
Saitama-ken,10
Kanagawa-ken,2
Osaka-fu,1
Tokyo-to,0
